State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,Smith Generating Facility,54,SCT1,,2022,1331,1150.05,107771.8,,0.74,0.0014,86747.099,0.0594,41.613,0.065,1449229.253,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2023,584,489.4,44386.52,,0.187,0.0011,35674.276,0.0592,18.952,0.0767,599908.668,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2024,1122,978.62,91949.4,,0.377,0.001,72898.095,0.0591,34.886,0.0641,1226118.609,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2025,1444,1288.14,122796.76,,0.498,0.001,97387.359,0.0591,45.548,0.0617,1638316.267,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2026,782,702.34,73579.03,,0.364,0.0012,56777.475,0.0592,31.964,0.0757,951166.663,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2022,1608,1448.24,102724.04,,0.285,0.001,56374.741,0.0591,5.692,0.0143,948604.966,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG3, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2023,151,126.94,8282.44,,0.024,0.001,4678.902,0.0591,0.514,0.0177,78722.368,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2024,932,827.99,60644.85,,0.166,0.001,32844.725,0.0591,3.345,0.0146,552658.426,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2025,2445,2201.66,155232.82,,0.433,0.001,85798.345,0.0591,8.786,0.0145,1443714.94,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2026,1108,1014.8,77291.95,,0.211,0.001,41717.277,0.059,4.358,0.0148,701974.549,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
