record_id,unit_key,dataset_id,reporting_year,operating_time,gross_load,steam_load,heat_input,co2_mass,so2_mass,nox_mass,so2_control,nox_control,pm_control,program_code
1,1,1,2022,NULL,107772,NULL,1449230,86747.1,0.74,41.613,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
2,1,1,2023,NULL,44386.5,NULL,599909,35674.3,0.187,18.952,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
3,1,1,2024,NULL,91949.4,NULL,1226120,72898.1,0.377,34.886,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
4,1,1,2025,NULL,122797,NULL,1638320,97387.4,0.498,45.548,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
5,1,1,2026,NULL,73579,NULL,951167,56777.5,0.364,31.964,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
6,2,1,2022,NULL,102724,NULL,948605,56374.7,0.285,5.692,NULL,"Water Injection|Selective Catalytic Reduction",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
7,2,1,2023,NULL,8282.44,NULL,78722.4,4678.9,0.024,0.514,NULL,"Water Injection|Selective Catalytic Reduction",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
8,2,1,2024,NULL,60644.9,NULL,552658,32844.7,0.166,3.345,NULL,"Water Injection|Selective Catalytic Reduction",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
9,2,1,2025,NULL,155233,NULL,1443720,85798.3,0.433,8.786,NULL,"Water Injection|Selective Catalytic Reduction",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
10,2,1,2026,NULL,77292,NULL,701975,41717.3,0.211,4.358,NULL,"Water Injection|Selective Catalytic Reduction",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
11,3,1,2022,NULL,98134.1,NULL,1312890,78624.6,0.686,44.642,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
12,3,1,2023,NULL,18959.8,NULL,255519,15202.6,0.082,9.517,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
13,3,1,2024,NULL,84548.5,NULL,1147380,68214.4,0.352,38.723,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
14,3,1,2025,NULL,103874,NULL,1398700,83207.9,0.442,43.109,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
15,3,1,2026,NULL,69791.3,NULL,913182,54487.4,0.341,28.188,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
16,4,1,2022,NULL,88143.6,NULL,1176330,70315.3,0.551,36.363,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
17,4,1,2023,NULL,22998.3,NULL,309391,18402,0.098,10.191,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
18,4,1,2024,NULL,85145.3,NULL,1129550,67168.3,0.351,35.424,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
19,4,1,2025,NULL,109070,NULL,1432430,85236.6,0.458,45.231,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
20,4,1,2026,NULL,60786,NULL,777580,46316.4,0.265,27.293,NULL,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
21,5,1,2022,NULL,68842.1,NULL,946866,56734,0.509,14.818,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
22,5,1,2023,NULL,55297.9,NULL,785846,46706.9,0.237,11.269,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
23,5,1,2024,NULL,45299,NULL,637960,38050.4,0.23,10.406,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
24,5,1,2025,NULL,83074.2,NULL,1136740,67622.5,0.361,18.202,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
25,5,1,2026,NULL,47593.8,NULL,633866,37674,0.191,8.298,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
26,6,1,2022,NULL,68814.7,NULL,905003,54241.5,0.495,13.399,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
27,6,1,2023,NULL,53539.9,NULL,727128,43217.6,0.221,10.441,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
28,6,1,2024,NULL,48650.9,NULL,653940,38881,0.202,10.615,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
29,6,1,2025,NULL,73875.7,NULL,996064,59247.5,0.314,13.941,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
30,6,1,2026,NULL,47014.1,NULL,587640,34935.3,0.181,8.897,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
31,7,1,2022,NULL,70440.4,NULL,929697,55705.6,0.499,15.489,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
32,7,1,2023,NULL,47195.3,NULL,642543,38202.6,0.198,10.313,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
33,7,1,2024,NULL,48570.6,NULL,659010,39178.4,0.202,10.86,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
34,7,1,2025,NULL,77599.4,NULL,1056700,62812.2,0.321,15.987,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
35,7,1,2026,NULL,45573.9,NULL,591709,35169.6,0.179,9.66,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
36,8,1,2022,NULL,68385.9,NULL,905227,54264.4,0.5,14.127,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
37,8,1,2023,NULL,50094.6,NULL,687586,40877.6,0.212,10.93,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
38,8,1,2024,NULL,46081.8,NULL,628439,37358.2,0.192,10.639,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
39,8,1,2025,NULL,76600.8,NULL,1044490,62091.1,0.319,16.82,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
40,8,1,2026,NULL,48849.2,NULL,632378,37586.3,0.192,11.383,NULL,"Dry Low NOx Burners|Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
